G,X,Y
1,0,49.99999999999993
1,1,50.659999999999926
1,2,51.31999999999992
1,3,51.97999999999992
1,4,52.639999999999915
1,5,53.29999999999991
1,6,53.95999999999991
1,7,54.619999999999905
1,8,55.2799999999999
1,9,55.9399999999999
1,10,56.599999999999895
1,11,57.25999999999989
1,12,57.91999999999989
1,13,58.579999999999885
1,14,59.23999999999988
1,15,59.89999999999988
1,16,60.559999999999874
1,17,61.21999999999987
1,18,61.87999999999987
1,19,62.539999999999864
1,20,63.19999999999986
1,21,63.85999999999986
1,22,64.51999999999985
1,23,65.17999999999985
1,24,65.83999999999985
1,25,66.49999999999984
1,26,67.15999999999984
1,27,67.81999999999984
1,28,68.47999999999983
1,29,69.13999999999983
1,30,69.79999999999983
1,31,70.45999999999982
1,32,71.11999999999982
1,33,71.77999999999982
1,34,72.43999999999981
1,35,73.09999999999981
1,36,73.7599999999998
1,37,74.4199999999998
1,38,75.0799999999998
1,39,75.7399999999998
1,40,76.39999999999979
1,41,77.05999999999979
1,42,77.71999999999979
1,43,78.37999999999978
1,44,79.03999999999978
1,45,79.69999999999978
1,46,80.35999999999977
1,47,81.01999999999977
1,48,81.67999999999977
1,49,82.33999999999976
1,50,82.99999999999976
1,51,82.33999999999976
1,52,81.67999999999977
1,53,81.01999999999977
1,54,80.35999999999977
1,55,79.69999999999978
1,56,79.03999999999978
1,57,78.37999999999978
1,58,77.71999999999979
1,59,77.05999999999979
1,60,76.39999999999979
1,61,75.7399999999998
1,62,75.0799999999998
1,63,74.4199999999998
1,64,73.7599999999998
1,65,73.09999999999981
1,66,72.43999999999981
1,67,71.77999999999982
1,68,71.11999999999982
1,69,70.45999999999982
1,70,69.79999999999983
1,71,69.13999999999983
1,72,68.47999999999983
1,73,67.81999999999984
1,74,67.15999999999984
1,75,66.49999999999984
1,76,65.83999999999985
1,77,65.17999999999985
1,78,64.51999999999985
1,79,63.85999999999986
1,80,63.19999999999986
1,81,62.539999999999864
1,82,61.87999999999987
1,83,61.21999999999987
1,84,60.559999999999874
1,85,59.89999999999988
1,86,59.23999999999988
1,87,58.579999999999885
1,88,57.91999999999989
1,89,57.25999999999989
1,90,56.599999999999895
1,91,55.9399999999999
1,92,55.2799999999999
1,93,54.619999999999905
1,94,53.95999999999991
1,95,53.29999999999991
1,96,52.639999999999915
1,97,51.97999999999992
1,98,51.31999999999992
1,99,50.659999999999926
1,100,49.99999999999993
