G,X,Y
1,0,50.0
1,1,49.125
1,2,48.25
1,3,47.375
1,4,46.5
1,5,45.625
1,6,44.75
1,7,43.875
1,8,43.0
1,9,42.125
1,10,41.25
1,11,40.375
1,12,39.5
1,13,38.625
1,14,37.75
1,15,36.875
1,16,36.0
1,17,35.125
1,18,34.25
1,19,33.375
1,20,32.5
1,21,31.625
1,22,30.75
1,23,29.875
1,24,29.0
1,25,28.125
1,26,27.25
1,27,26.375
1,28,25.5
1,29,24.625
1,30,23.75
1,31,22.875
1,32,22.0
1,33,21.125
1,34,20.25
1,35,19.375
1,36,18.5
1,37,17.625
1,38,16.75
1,39,15.875
1,40,15.0
1,41,14.125
1,42,13.25
1,43,12.375
1,44,11.5
1,45,10.625
1,46,9.75
1,47,8.875
1,48,8.0
1,49,7.125
1,50,6.25
1,51,7.125
1,52,8.0
1,53,8.875
1,54,9.75
1,55,10.625
1,56,11.5
1,57,12.375
1,58,13.25
1,59,14.125
1,60,15.0
1,61,15.875
1,62,16.75
1,63,17.625
1,64,18.5
1,65,19.375
1,66,20.25
1,67,21.125
1,68,22.0
1,69,22.875
1,70,23.75
1,71,24.625
1,72,25.5
1,73,26.375
1,74,27.25
1,75,28.125
1,76,29.0
1,77,29.875
1,78,30.75
1,79,31.625
1,80,32.5
1,81,33.375
1,82,34.25
1,83,35.125
1,84,36.0
1,85,36.875
1,86,37.75
1,87,38.625
1,88,39.5
1,89,40.375
1,90,41.25
1,91,42.125
1,92,43.0
1,93,43.875
1,94,44.75
1,95,45.625
1,96,46.5
1,97,47.375
1,98,48.25
1,99,49.125
1,100,50.0
