G,X,Y
1,0,49.99999999999992
1,1,50.52499999999992
1,2,51.04999999999992
1,3,51.57499999999992
1,4,52.099999999999916
1,5,52.624999999999915
1,6,53.14999999999991
1,7,53.67499999999991
1,8,54.19999999999991
1,9,54.72499999999991
1,10,55.24999999999991
1,11,55.774999999999906
1,12,56.299999999999905
1,13,56.8249999999999
1,14,57.3499999999999
1,15,57.8749999999999
1,16,58.3999999999999
1,17,58.9249999999999
1,18,59.449999999999896
1,19,59.974999999999895
1,20,60.49999999999989
1,21,61.02499999999989
1,22,61.54999999999989
1,23,62.07499999999989
1,24,62.59999999999989
1,25,63.124999999999886
1,26,63.649999999999885
1,27,64.17499999999988
1,28,64.69999999999989
1,29,65.2249999999999
1,30,65.7499999999999
1,31,66.2749999999999
1,32,66.79999999999991
1,33,67.32499999999992
1,34,67.84999999999992
1,35,68.37499999999993
1,36,68.89999999999993
1,37,69.42499999999994
1,38,69.94999999999995
1,39,70.47499999999995
1,40,70.99999999999996
1,41,71.52499999999996
1,42,72.04999999999997
1,43,72.57499999999997
1,44,73.09999999999998
1,45,73.62499999999999
1,46,74.14999999999999
1,47,74.675
1,48,75.2
1,49,75.72500000000001
1,50,76.25000000000001
1,51,75.72500000000001
1,52,75.2
1,53,74.675
1,54,74.14999999999999
1,55,73.62499999999999
1,56,73.09999999999998
1,57,72.57499999999997
1,58,72.04999999999997
1,59,71.52499999999996
1,60,70.99999999999996
1,61,70.47499999999995
1,62,69.94999999999995
1,63,69.42499999999994
1,64,68.89999999999993
1,65,68.37499999999993
1,66,67.84999999999992
1,67,67.32499999999992
1,68,66.79999999999991
1,69,66.2749999999999
1,70,65.7499999999999
1,71,65.2249999999999
1,72,64.69999999999989
1,73,64.17499999999988
1,74,63.649999999999885
1,75,63.124999999999886
1,76,62.59999999999989
1,77,62.07499999999989
1,78,61.54999999999989
1,79,61.02499999999989
1,80,60.49999999999989
1,81,59.974999999999895
1,82,59.449999999999896
1,83,58.9249999999999
1,84,58.3999999999999
1,85,57.8749999999999
1,86,57.3499999999999
1,87,56.8249999999999
1,88,56.299999999999905
1,89,55.774999999999906
1,90,55.24999999999991
1,91,54.72499999999991
1,92,54.19999999999991
1,93,53.67499999999991
1,94,53.14999999999991
1,95,52.624999999999915
1,96,52.099999999999916
1,97,51.57499999999992
1,98,51.04999999999992
1,99,50.52499999999992
1,100,49.99999999999992
