G,X,Y
1,0,50.0
1,1,49.68125
1,2,49.3625
1,3,49.043749999999996
1,4,48.724999999999994
1,5,48.40624999999999
1,6,48.08749999999999
1,7,47.76874999999999
1,8,47.44999999999999
1,9,47.13124999999999
1,10,46.812499999999986
1,11,46.493749999999984
1,12,46.17499999999998
1,13,45.85624999999998
1,14,45.53749999999998
1,15,45.21874999999998
1,16,44.89999999999998
1,17,44.581249999999976
1,18,44.262499999999974
1,19,43.94374999999997
1,20,43.62499999999997
1,21,43.30624999999997
1,22,42.98749999999997
1,23,42.66874999999997
1,24,42.349999999999966
1,25,42.031249999999964
1,26,41.71249999999996
1,27,41.39374999999996
1,28,41.07499999999996
1,29,40.75624999999996
1,30,40.43749999999996
1,31,40.118749999999956
1,32,39.799999999999955
1,33,39.48124999999995
1,34,39.16249999999995
1,35,38.84374999999995
1,36,38.52499999999995
1,37,38.20624999999995
1,38,37.887499999999946
1,39,37.568749999999945
1,40,37.24999999999994
1,41,36.93124999999994
1,42,36.61249999999994
1,43,36.29374999999994
1,44,35.97499999999994
1,45,35.656249999999936
1,46,35.337499999999935
1,47,35.01874999999993
1,48,34.69999999999993
1,49,34.38124999999993
1,50,34.06249999999993
1,51,34.38124999999993
1,52,34.69999999999993
1,53,35.01874999999993
1,54,35.337499999999935
1,55,35.656249999999936
1,56,35.97499999999994
1,57,36.29374999999994
1,58,36.61249999999994
1,59,36.93124999999994
1,60,37.24999999999994
1,61,37.568749999999945
1,62,37.887499999999946
1,63,38.20624999999995
1,64,38.52499999999995
1,65,38.84374999999995
1,66,39.16249999999995
1,67,39.48124999999995
1,68,39.799999999999955
1,69,40.118749999999956
1,70,40.43749999999996
1,71,40.75624999999996
1,72,41.07499999999996
1,73,41.39374999999996
1,74,41.71249999999996
1,75,42.031249999999964
1,76,42.349999999999966
1,77,42.66874999999997
1,78,42.98749999999997
1,79,43.30624999999997
1,80,43.62499999999997
1,81,43.94374999999997
1,82,44.262499999999974
1,83,44.581249999999976
1,84,44.89999999999998
1,85,45.21874999999998
1,86,45.53749999999998
1,87,45.85624999999998
1,88,46.17499999999998
1,89,46.493749999999984
1,90,46.812499999999986
1,91,47.13124999999999
1,92,47.44999999999999
1,93,47.76874999999999
1,94,48.08749999999999
1,95,48.40624999999999
1,96,48.724999999999994
1,97,49.043749999999996
1,98,49.3625
1,99,49.68125
1,100,50.0
