G,X,Y
1,0,50.0
1,1,48.5625
1,2,47.125
1,3,45.6875
1,4,44.25
1,5,42.8125
1,6,41.375
1,7,39.9375
1,8,38.5
1,9,37.0625
1,10,35.625
1,11,34.1875
1,12,32.75
1,13,31.3125
1,14,29.875
1,15,28.4375
1,16,27.0
1,17,25.5625
1,18,24.125
1,19,22.6875
1,20,21.25
1,21,19.8125
1,22,18.375
1,23,16.9375
1,24,15.5
1,25,14.0625
1,26,12.625
1,27,11.1875
1,28,9.75
1,29,8.3125
1,30,6.875
1,31,5.4375
1,32,4.0
1,33,2.5625
1,34,1.1249999999999998
1,35,-0.31250000000000044
1,36,-1.7500000000000007
1,37,-3.187500000000001
1,38,-4.625000000000001
1,39,-6.062500000000001
1,40,-7.500000000000001
1,41,-8.937500000000002
1,42,-10.375000000000002
1,43,-11.812500000000002
1,44,-13.250000000000002
1,45,-14.687500000000002
1,46,-16.125000000000004
1,47,-17.562500000000004
1,48,-19.000000000000004
1,49,-20.437500000000004
1,50,-21.875000000000004
1,51,-20.437500000000004
1,52,-19.000000000000004
1,53,-17.562500000000004
1,54,-16.125000000000004
1,55,-14.687500000000004
1,56,-13.250000000000004
1,57,-11.812500000000004
1,58,-10.375000000000004
1,59,-8.937500000000004
1,60,-7.5000000000000036
1,61,-6.0625000000000036
1,62,-4.6250000000000036
1,63,-3.1875000000000036
1,64,-1.7500000000000033
1,65,-0.3125000000000031
1,66,1.1249999999999971
1,67,2.5624999999999973
1,68,3.9999999999999973
1,69,5.437499999999997
1,70,6.874999999999997
1,71,8.312499999999998
1,72,9.749999999999998
1,73,11.187499999999998
1,74,12.624999999999998
1,75,14.062499999999998
1,76,15.499999999999998
1,77,16.9375
1,78,18.375
1,79,19.8125
1,80,21.25
1,81,22.6875
1,82,24.125
1,83,25.5625
1,84,27.0
1,85,28.4375
1,86,29.875
1,87,31.3125
1,88,32.75
1,89,34.1875
1,90,35.625
1,91,37.0625
1,92,38.5
1,93,39.9375
1,94,41.375
1,95,42.8125
1,96,44.25
1,97,45.6875
1,98,47.125
1,99,48.5625
1,100,50.0
